id,created,updated,five_why_response_id,flash_report_id,root_cause_detail_id,action_id,filename,extension,shared_learning_id,feedback_id
224,2022-10-24 07:51:42.812349+00,2022-10-24 07:56:42.772814+00,\N,\N,\N,\N,flash_report_cdf1d65e-2b8a-4fec-8586-deb5167cc0ba.jpeg,.jpeg,\N,
225,2022-10-24 07:56:42.773625+00,2022-10-24 07:59:29.342+00,\N,\N,\N,\N,flash_report_c811781b-6c0d-43e6-8fd7-374e95248a67.jpeg,.jpeg,\N,
226,2022-10-24 07:59:29.34371+00,2022-10-24 22:15:24.274453+00,\N,\N,\N,\N,flash_report_72b550fc-e639-4dd5-b604-c71f455608ce.jpeg,.jpeg,\N,
227,2022-10-24 22:15:24.276659+00,2022-10-24 22:15:24.276688+00,\N,89,\N,\N,flash_report_85b72aa6-341b-45db-b240-f3f8cedbfb7a.jpeg,.jpeg,\N,
228,2022-10-25 08:58:29.20844+00,2022-10-25 08:58:29.208479+00,\N,92,\N,\N,flash_report_a45e1ae2-2102-4836-897f-9642f51f2ddb.jpeg,.jpeg,\N,
229,2022-10-25 22:54:49.652844+00,2022-10-25 23:00:09.991785+00,\N,\N,\N,\N,flash_report_a539619c-e72d-4853-a97f-5d27a560c0a6.jpeg,.jpeg,\N,
230,2022-10-25 23:00:09.994155+00,2022-10-25 23:00:09.994186+00,\N,93,\N,\N,flash_report_83b71a56-a6f1-4b7c-86bc-78436839c914.jpeg,.jpeg,\N,
231,2022-10-26 01:51:29.767384+00,2022-10-26 01:58:12.306385+00,\N,\N,\N,\N,flash_report_a24cd45c-afce-4c57-8aff-d81ebb43d040.jpeg,.jpeg,\N,
232,2022-10-26 01:58:12.307257+00,2022-10-26 01:59:42.572164+00,\N,\N,\N,\N,flash_report_81afa115-8a28-4a11-940f-d0e9806cd277.jpeg,.jpeg,\N,
233,2022-10-26 01:59:42.573366+00,2022-10-26 02:01:48.454438+00,\N,\N,\N,\N,flash_report_5338c277-69be-49b2-9e2d-f8a547985468.jpeg,.jpeg,\N,
234,2022-10-26 02:01:48.456084+00,2022-10-26 02:01:48.456115+00,\N,94,\N,\N,flash_report_5e0cfa85-73ad-45e4-80a9-ed07178e902c.jpeg,.jpeg,\N,
235,2022-10-26 02:15:45.04978+00,2022-10-26 02:15:45.04981+00,122,\N,\N,\N,five_why_084d51fb-df9e-466d-918d-69bd33cb251f.jpeg,.jpeg,\N,
236,2022-10-26 02:15:45.049828+00,2022-10-26 02:15:45.049844+00,121,\N,\N,\N,five_why_80d5b015-fbdb-4e20-abf3-c1c822a14689.jpeg,.jpeg,\N,
237,2022-10-26 08:43:41.850195+00,2022-10-26 08:43:41.850232+00,\N,20,\N,\N,flash_report_651cc551-6a4e-435f-9a00-d610e5be7905.jpeg,.jpeg,\N,
238,2022-10-26 08:53:50.735628+00,2022-10-26 08:54:26.455256+00,\N,\N,\N,\N,shared_learning_a0dd1b38-334f-4738-8dc6-6f53580b47f9.jpeg,.jpeg,\N,
239,2022-10-26 08:54:26.456225+00,2022-10-26 08:54:26.456251+00,\N,\N,\N,\N,shared_learning_6abdcfbc-f86b-4ab0-a762-e177c246c12f.jpeg,.jpeg,10,
240,2022-10-26 22:34:08.233184+00,2022-10-26 22:56:19.168628+00,\N,\N,\N,\N,flash_report_6e8ab28b-bf7a-43a0-9ccf-48058128b7fc.jpeg,.jpeg,\N,
243,2022-10-27 02:07:22.946793+00,2022-10-27 02:07:22.946821+00,\N,\N,\N,15968,action_0b3b034a-8592-4f6c-8b8c-c5abaa2c252e.jpeg,.jpeg,\N,
241,2022-10-26 22:56:19.170504+00,2022-10-27 02:11:15.464693+00,\N,\N,\N,\N,flash_report_d0d390f7-0c2f-4af9-996c-0afad32160c4.jpeg,.jpeg,\N,
244,2022-10-27 02:11:15.468618+00,2022-10-27 02:11:15.468655+00,\N,55,\N,\N,flash_report_70da66a9-4d26-41b2-9b35-252b2eb9f792.jpeg,.jpeg,\N,
245,2022-10-27 02:24:14.326158+00,2022-10-27 02:24:14.326192+00,\N,95,\N,\N,flash_report_e56a0426-b011-4d72-a4c8-73487bb747b5.jpeg,.jpeg,\N,
246,2022-10-27 06:20:20.721181+00,2022-10-27 06:52:23.661595+00,\N,\N,\N,\N,flash_report_269ac09a-26bc-41fd-a70b-f87f97bf701f.jpeg,.jpeg,\N,
247,2022-10-27 06:52:23.663008+00,2022-10-27 06:52:23.663035+00,\N,96,\N,\N,flash_report_509025cb-1544-4f8a-bc5a-06deb4f9da3e.jpeg,.jpeg,\N,
