id,created,updated,title,tab_title,tab_number,tab_type,tableau_url,location_id,aplus_date_range,aplus_site,aplus_area,rems_site,rems_fleet_type,rems_date_range
202,2022-08-15 17:55:00.000 +0800,2022-08-15 17:55:00.000 +0800,CC HME Trucks Investigations Report,CC HME Trucks Investigations Report,3,1,https://analytics.fmgl.com.au/t/sandbox/views/InvestigationandActiontracker/InvestigationTracker/3338d62e-8069-4505-b681-b46ae5891d5c/CCHMETrucksInvestigationTracker?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:device=desktop,40,,,,,,
208,2022-08-15 17:55:00.000 +0800,2022-08-15 17:55:00.000 +0800,CC Loaders FLOC DT Pareto,CC Loaders FLOC DT Pareto,2,2,,42,,,,Christmas Creek,Wheel Loader,30 Days
151,2022-08-15 17:55:00.000 +0800,2022-08-15 17:55:00.000 +0800,CC OPF1 30 Day DT,CC OPF1 30 Day DT,3,3,,35,30 Days,Christmas Creek,CC OPF1,,,
149,2022-08-15 17:55:00.000 +0800,2022-08-15 17:55:00.000 +0800,CC OPF1 Summary,CC OPF1 Summary,1,1,https://analytics.fmgl.com.au/t/sandbox/views/CCOPF1Summary/CCOPF1Summary?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:device=desktop,35,,,,,,
150,2022-08-15 17:55:00.000 +0800,2022-08-15 17:55:00.000 +0800,CC OPF1 Weekly TUM,CC OPF1 Weekly TUM,2,1,https://analytics.fmgl.com.au/t/sandbox/views/CCOPF1WeeklyTUM/CBTLOWeeklyTUM?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:device=desktop,35,,,,,,
163,2022-08-15 17:55:00.000 +0800,2022-08-15 17:55:00.000 +0800,CC OPF2 30 Day DT,CC OPF2 30 Day DT,6,3,,35,30 Days,Christmas Creek,CC OPF2,,,
161,2022-08-15 17:55:00.000 +0800,2022-08-15 17:55:00.000 +0800,CC OPF2 Summary,CC OPF2 Summary,4,1,https://analytics.fmgl.com.au/t/sandbox/views/CCOPF2Summary/CCOPF2Summary?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:device=desktop,35,,,,,,
162,2022-08-15 17:55:00.000 +0800,2022-08-15 17:55:00.000 +0800,CC OPF2 Weekly TUM,CC OPF2 Weekly TUM,5,1,https://analytics.fmgl.com.au/t/sandbox/views/CCOPF2WeeklyTUM/CCOPF2WeeklyTUM?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:device=desktop,35,,,,,,
154,2022-08-15 17:55:00.000 +0800,2022-08-15 17:55:00.000 +0800,CC TLO 30 Day DT,CC TLO 30 Day DT,12,3,,35,30 Days,Christmas Creek,CC Stockyard,,,
152,2022-08-15 17:55:00.000 +0800,2022-08-15 17:55:00.000 +0800,CC TLO Summary,CC TLO Summary,10,1,https://analytics.fmgl.com.au/t/sandbox/views/CCTLOSummary/CCTLOSummary?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:device=desktop,35,,,,,,
153,2022-08-15 17:55:00.000 +0800,2022-08-15 17:55:00.000 +0800,CC TLO Weekly TUM,CC TLO Weekly TUM,11,1,https://analytics.fmgl.com.au/t/sandbox/views/CCTLOWeeklyTUM/CCTLOWeeklyTUM?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:device=desktop,35,,,,,,
